id,name_ar,name_en,category,city,google_maps_url,lat,lng
rest_bab_al_turath,مطعم باب التراث,Bab Al Turath Restaurant,restaurants,أبها,https://www.google.com/maps/search/?api=1&query=Bab+Al+Turath+Restaurant+%D8%A3%D8%A8%D9%87%D8%A7+Aseer+Saudi+Arabia,,
rest_ala_bali,مطعم على بالي,Ala Bali Restaurant,restaurants,أبها,https://www.google.com/maps/search/?api=1&query=Ala+Bali+Restaurant+%D8%A3%D8%A8%D9%87%D8%A7+Aseer+Saudi+Arabia,,
rest_zurna,زورنا,Zurna,restaurants,أبها,https://www.google.com/maps/search/?api=1&query=Zurna+%D8%A3%D8%A8%D9%87%D8%A7+Aseer+Saudi+Arabia,,
rest_sadaf,مطعم صدف,Sadaf Restaurant,restaurants,أبها,https://www.google.com/maps/search/?api=1&query=Sadaf+Restaurant+%D8%A3%D8%A8%D9%87%D8%A7+Aseer+Saudi+Arabia,,
rest_shandal,شندل,Shandal,restaurants,أبها,https://www.google.com/maps/search/?api=1&query=Shandal+%D8%A3%D8%A8%D9%87%D8%A7+Aseer+Saudi+Arabia,,
cafe_fog,فوق كوفي,Fog Coffee,cafes,أبها,https://www.google.com/maps/search/?api=1&query=Fog+Coffee+%D8%A3%D8%A8%D9%87%D8%A7+Aseer+Saudi+Arabia,,
cafe_lascene,لاسين كافيه,Lascene Cafe,cafes,أبها,https://www.google.com/maps/search/?api=1&query=Lascene+Cafe+%D8%A3%D8%A8%D9%87%D8%A7+Aseer+Saudi+Arabia,,
cafe_over_jar,أوفر جار كافيه,Over Jar Café,cafes,أبها,https://www.google.com/maps/search/?api=1&query=Over+Jar+Caf%C3%A9+%D8%A3%D8%A8%D9%87%D8%A7+Aseer+Saudi+Arabia,,
cafe_mlle,إم إل إل إي كافيه,Mlle Café,cafes,أبها,https://www.google.com/maps/search/?api=1&query=Mlle+Caf%C3%A9+%D8%A3%D8%A8%D9%87%D8%A7+Aseer+Saudi+Arabia,,
cafe_camel_step,كاميل ستيب,Camel Step Coffee Roasters,cafes,خميس مشيط,https://www.google.com/maps/search/?api=1&query=Camel+Step+Coffee+Roasters+%D8%AE%D9%85%D9%8A%D8%B3+%D9%85%D8%B4%D9%8A%D8%B7+Aseer+Saudi+Arabia,,
attr_rijal_almaa,قرية رجال ألمع التراثية,Rijal Almaa Heritage Village,attractions,رجال ألمع,https://www.google.com/maps/search/?api=1&query=Rijal+Almaa+Heritage+Village+%D8%B1%D8%AC%D8%A7%D9%84+%D8%A3%D9%84%D9%85%D8%B9+Aseer+Saudi+Arabia,,
attr_al_muftaha,قرية المفتاحة الفنية,Al Muftaha,attractions,أبها,https://www.google.com/maps/search/?api=1&query=Al+Muftaha+%D8%A3%D8%A8%D9%87%D8%A7+Aseer+Saudi+Arabia,,
attr_fatimah_museum,متحف القط العسيري (متحف فاطمة),Al-Qatt Al-Aseeri Museum (Fatimah Museum),attractions,أبها,https://www.google.com/maps/search/?api=1&query=Al-Qatt+Al-Aseeri+Museum+%28Fatimah+Museum%29+%D8%A3%D8%A8%D9%87%D8%A7+Aseer+Saudi+Arabia,,
attr_al_dabab,ممشى الضباب,Al Dabab Walkway,attractions,أبها,https://www.google.com/maps/search/?api=1&query=Al+Dabab+Walkway+%D8%A3%D8%A8%D9%87%D8%A7+Aseer+Saudi+Arabia,,
attr_al_habala,منتزه الحبلة,Al Habala Park,attractions,الحبلة,https://www.google.com/maps/search/?api=1&query=Al+Habala+Park+%D8%A7%D9%84%D8%AD%D8%A8%D9%84%D8%A9+Aseer+Saudi+Arabia,,
attr_al_basta,حي البسطة,Al Basta District,attractions,أبها,https://www.google.com/maps/search/?api=1&query=Al+Basta+District+%D8%A3%D8%A8%D9%87%D8%A7+Aseer+Saudi+Arabia,,
attr_al_yanfa,قرية آل ينفع التراثية,Al Yanfa Heritage Village,attractions,أحد رفيدة,https://www.google.com/maps/search/?api=1&query=Al+Yanfa+Heritage+Village+%D8%A3%D8%AD%D8%AF+%D8%B1%D9%81%D9%8A%D8%AF%D8%A9+Aseer+Saudi+Arabia,,
attr_jerash,مركز زوار موقع جرش الأثري,Visitor Center Jorash Archaeological Site,attractions,أحد رفيدة,https://www.google.com/maps/search/?api=1&query=Visitor+Center+Jorash+Archaeological+Site+%D8%A3%D8%AD%D8%AF+%D8%B1%D9%81%D9%8A%D8%AF%D8%A9+Aseer+Saudi+Arabia,,
hike_ridge_walk,ذا ريدج ووك من هوساك,The Ridge Walk by Husaak Adventures,hiking,تنومة,https://www.google.com/maps/search/?api=1&query=The+Ridge+Walk+by+Husaak+Adventures+%D8%AA%D9%86%D9%88%D9%85%D8%A9+Aseer+Saudi+Arabia,,
hike_sawda,مسار جبال السودة,Sawda Mountains Hiking Trail,hiking,السودة,https://www.google.com/maps/search/?api=1&query=Sawda+Mountains+Hiking+Trail+%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A9+Aseer+Saudi+Arabia,,
hike_abseiling,نزول جبلي ومشي,Abseiling and Hike,hiking,عسير,https://www.google.com/maps/search/?api=1&query=Abseiling+and+Hike+%D8%B9%D8%B3%D9%8A%D8%B1+Aseer+Saudi+Arabia,,
act_areeka,تجربة إعداد العريكة العسيرية,Experience preparing Asiri Areeka,activities,عسير,https://www.google.com/maps/search/?api=1&query=Experience+preparing+Asiri+Areeka+%D8%B9%D8%B3%D9%8A%D8%B1+Aseer+Saudi+Arabia,,
act_honey,اكتشاف أنواع العسل العسيري,Discover the varieties of Asiri honey,activities,رجال ألمع,https://www.google.com/maps/search/?api=1&query=Discover+the+varieties+of+Asiri+honey+%D8%B1%D8%AC%D8%A7%D9%84+%D8%A3%D9%84%D9%85%D8%B9+Aseer+Saudi+Arabia,,
act_coffee_farms,زيارة مزارع البن العسيري,Experience visiting the Asiri coffee farms in Rijal Almaa,activities,رجال ألمع,https://www.google.com/maps/search/?api=1&query=Experience+visiting+the+Asiri+coffee+farms+in+Rijal+Almaa+%D8%B1%D8%AC%D8%A7%D9%84+%D8%A3%D9%84%D9%85%D8%B9+Aseer+Saudi+Arabia,,
